id,title,sub_title,num_title,part,imdb,postgres,sunopsis,last_seen,watch_count,own,mtype_id,myear_id,mformat_id,quality_id,mlanguage_id,msubtitle_id,threed_id,created_at,updated_at,director,writer,actor,poster
152,Thir13en Ghosts,"",,,tt0245674,,"When Cyrus Kriticos, a very rich collector of unique things dies, he leaves it all to his nephew and his family. All including his house, his fortune, and his malicious collection of ghosts!",,,1,,21,2,,1,3,, 8 Jul 2016 13:11,13 Jul 2016 08:28,,,,
153,2012,"",,,tt1190080,,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,,,1,,13,2,,1,3,, 8 Jul 2016 13:11,13 Jul 2016 14:29,Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",
154,30 Days of Night,"",,,tt0389722,,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.

After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",,,1,,15,2,,1,3,, 8 Jul 2016 13:11, 4 Aug 2016 11:23,David Slade,"Steve Niles (screenplay), Stuart Beattie (screenplay), Brian Nelson (screenplay), Steve Niles (comic), Ben Templesmith (comic)","Josh Hartnett, Melissa George, Danny Huston, Ben Foster",b1374e3fe523ef62a20fbf391331a9c1
155,The Adjustment Bureau,"",,,tt1385826,,The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.,,,1,,,2,,1,3,, 8 Jul 2016 13:11,11 Jul 2016 13:38,,,,
156,Alien,,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
157,Alien,3,3,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
158,Alien,Resurrection,4,,tt0118583,,"Two centuries after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone who must continue her war against the aliens.",,,1,,,2,,1,3,, 8 Jul 2016 13:11,11 Jul 2016 13:12,,,,
159,Aliens,,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
160,Amazing Spiderman,,1,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
161,Amazing Spiderman,,2,,,,,,,0,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
162,American Hunting,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
163,American Pie,,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
164,American Pie,2,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
165,American Pie,Wedding,3,,"",,"",,,1,,,2,,1,3,, 8 Jul 2016 13:11, 4 Aug 2016 09:38,"","","",
166,American Pie,Reunion,4,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
167,Amytiville,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
168,As Good As It Gets,,,,,,,,,1,,,3,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
169,Avatar,,,,,,,,,1,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
170,Marvel's Avengers Assemble,Assemble,1,,tt2455546,,The further adventures of the Marvel Universe's mightiest general membership superhero team.,,,1,,9,2,,1,3,2, 8 Jul 2016 13:11,22 Jul 2016 09:26,N/A,"Jack Kirby, Kari Rosenberg, Joe Simon","Adrian Pasdar, Fred Tatasciore, Roger Craig Smith, Travis Willingham",6bb75c6d4ad48b72245bfac290db7926
171,Avengers,Age of Ultron,2,,,,,,,0,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
172,Back to the Future,,1,,,,,,,1,,,2,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
173,Back to the Future,,2,,,,,,,1,,,2,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
174,Back to the Future,,3,,,,,,,1,,,2,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
175,Banaras,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
176,Batman,Batman Begins,1,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
177,Batman,Dark Knight  The,2,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
178,Batman,Dark Knight Rises  The,3,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
179,Blisko Siebie,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
180,Blue Smoke,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
181,Bolt,,,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
182,Bond,Casino Royale,,,,,,,,1,,,2,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
183,Book of Eli  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
184,Bourne,Identity,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
185,Bourne,Supremacy,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
186,Bourne,Ultimatum,3,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
187,Bourne,Legacy,4,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
188,Cabin in the Woods,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
189,Captain America,Winter Soldier,2,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
190,Captain America,,1,,,,,,,0,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
191,Carrie,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
192,Christmas Carol,,,,,,,,,1,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
193,CJ7,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
194,CJ7,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
195,Cloudy With a Chance of Meatballs,,1,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
196,Cloudy With a Chance of Meatballs,,2,,,,,,,0,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
197,Conjuring,,,,,,,,,1,,,2,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
198,Constantine,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
199,Core,,,,,,,,,1,,,3,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
200,Daredevil,,,,,,,,,1,,,3,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
201,Darjeeling Limited,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
202,Dark Water,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
203,Day After Tomorrow  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
204,Day the Earth Stood Still  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
205,Daybrakers,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
206,Daywatch,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
207,Derailed,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
208,Despicable Me,,1,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
209,Despicable Me,2,2,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
210,Devil Inside,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
211,Devil's Own  The,,,,,,,,,1,,,3,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
212,District 9,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
213,Don,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
214,Drogowka,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
215,Elektra,,,,,,,,,1,,,3,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
216,Ender's Game,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
217,Exorcism of Emily Rose,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
218,Exorcist,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
219,Expendables,,1,,,,,,,1,,,2,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
220,Expendables,,2,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
221,Expendables,,3,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
222,Fantastic Four,,,,,,,,,1,,,3,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
223,Fighter  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
224,Final Destination,,1,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
225,Final Destination,,2,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
226,Final Destination,,3,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
227,Final Destination,The Final Destination,4,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
228,Final Destination,,5,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
229,Forbidden Kingdom  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
230,Forgotten  The,,,,,,,,,1,,,3,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
231,Fourth Kind  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
232,Game of Thrones,Season 1,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
233,Game of Thrones,Season 2,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
234,Game of Thrones,Season 3,3,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
235,Game of Thrones,Season 4,4,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
236,Genialny Wynalazek,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
237,Godzilla,,,,,,,,,1,,,3,,1,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
238,Godzilla,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
239,Gra Namietnosci,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
240,Grand Budapest Hotel  The,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
241,Green Hornet,,,,,,,,,1,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
242,Green Lantern,,,,,,,,,0,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
243,Grown Ups,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
244,Grudge,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
245,Guardians of Galaxy,,,,,,,,,0,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
246,Harry Potter,Philosopher Stone,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
247,Harry Potter,Chamber of Secrets,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
248,Harry Potter,Prisoner of Azkaban,3,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
249,Harry Potter,Goblet of Fire,4,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
250,Harry Potter,Order of the Phoenix,5,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
251,Harry Potter,Half-blood Prince,6,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
252,Harry Potter,Deathly Hallows,7,1,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
253,Harry Potter,Deathly Hallows,8,2,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
254,Hellboy,,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
255,Hellboy,Golden Army,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
256,Heroes,Season 1,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
257,Heroes,Season 2,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
258,Hobbit,An Unexpected Journey,1,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
259,Hobbit,The Desolation of Smaug,2,,,,,,,1,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
260,Hobbit,The Battle of the Five Armies,3,,,,,,,0,,,2,,2,2,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
261,Hot Fuzz,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
262,How to Train Your Dragon,,1,,,,,,,1,,,2,,2,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
263,How to Train Your Dragon,2,2,,,,,,,0,,,2,,2,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
264,Hugo,,,,,,,,,1,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
265,Hulk,,1,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
266,Hulk,Incredible Hulk  The,2,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
267,Hunger Games,,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
268,Hunger Games,Catching Fire,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
269,Hunger Games,Mockingjay,3,1,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
270,Hunger Games,Mockingjay,4,2,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
271,Ides of March  The,,,,,,,,,1,,,3,,2,2,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
272,Immortals,,,,,,,,,1,,,2,,1,3,2, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
273,Inception,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
274,Independence Day,,,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
275,Insidious,,1,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
276,Insidious,Chapter 2,2,,,,,,,1,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
277,Interview with Vampire,,,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
278,Ip Man,,1,,,,,,,0,,,2,,1,3,, 8 Jul 2016 13:11, 8 Jul 2016 13:11,,,,
